symbol,display_symbol,market_type,source,base_currency,quote_currency,timestamp,exchange_rate,ingestion_time
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-22 00:00:00+00:00,1.1476,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-23 00:00:00+00:00,1.1415,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-24 00:00:00+00:00,1.1376,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-25 00:00:00+00:00,1.1357,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-28 00:00:00+00:00,1.1358,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-29 00:00:00+00:00,1.1373,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-04-30 00:00:00+00:00,1.1373,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-02 00:00:00+00:00,1.1343,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-05 00:00:00+00:00,1.1343,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-06 00:00:00+00:00,1.1325,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-07 00:00:00+00:00,1.136,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-08 00:00:00+00:00,1.1297,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-09 00:00:00+00:00,1.1252,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-12 00:00:00+00:00,1.1106,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-13 00:00:00+00:00,1.1112,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-14 00:00:00+00:00,1.1214,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-15 00:00:00+00:00,1.1185,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-16 00:00:00+00:00,1.1194,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-19 00:00:00+00:00,1.1262,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-20 00:00:00+00:00,1.1241,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-21 00:00:00+00:00,1.1321,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-22 00:00:00+00:00,1.1309,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-23 00:00:00+00:00,1.1301,2026-04-17T01:07:12.153894+00:00
EURUSD,EUR/USD,forex,frankfurter,EUR,USD,2025-05-26 00:00:00+00:00,1.1381,2026-04-17T01:07:12.153894+00:00
