symbol_1,symbol_2,correlation_value
GC=F,SI=F,0.9417004347114322
bitcoin,ethereum,0.748010786239722
GC=F,bitcoin,-0.5699113859637307
EURUSD,GBPUSD,0.5421004880880538
SI=F,bitcoin,-0.5233811420407877
GBPUSD,GC=F,-0.4482125352233731
EURUSD,SI=F,0.44082816162412114
EURUSD,GC=F,0.4170490287146485
EURUSD,ethereum,0.24395501772605135
GC=F,ethereum,0.18895972165373265
EURUSD,bitcoin,-0.1589014559586685
GBPUSD,SI=F,-0.1485414103516534
SI=F,ethereum,0.13044400774208115
GBPUSD,bitcoin,0.036030986395776954
GBPUSD,ethereum,-0.02954197319921186
