symbol,display_symbol,market_type,timestamp,open,high,low,close,volume,returns,price_diff,ma7,ma30,volatility,volume_change,correlation,rsi,macd,macd_signal,macd_histogram,day_of_week,volume_ma7,relative_volume,source,ingestion_time
EURUSD,EUR/USD,forex,2025-04-17 00:00:00+00:00,1.136,1.136,1.136,1.136,0.0,0.0,0.0,1.136,1.136,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-22 00:00:00+00:00,1.1476,1.1476,1.1476,1.1476,0.0,0.010211267605633845,0.011600000000000055,1.1418,1.1418,0.007220456568454213,0.0,0.0,50.0,0.0009253561253559361,0.00018507122507118725,0.0007402849002847489,1,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-23 00:00:00+00:00,1.1415,1.1415,1.1415,1.1415,0.0,-0.005315440920181214,-0.006099999999999994,1.1417,1.1417,0.007890950258950884,0.0,0.0,65.53672316384194,0.001153195185104039,0.0003786960170777576,0.0007744991680262814,2,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-24 00:00:00+00:00,1.1376,1.1376,1.1376,1.1376,0.0,-0.0034165571616294743,-0.0039000000000000146,1.1406749999999999,1.1406749999999999,0.006919771228093641,0.0,0.0,53.7037037037038,0.0010074486343638611,0.0005044465405349783,0.0005030020938288828,3,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-25 00:00:00+00:00,1.1357,1.1357,1.1357,1.1357,0.0,-0.0016701828410689012,-0.0019000000000000128,1.1396799999999998,1.1396799999999998,0.006061744432755029,0.0,0.0,49.36170212765965,0.0007302118936487467,0.000549599611157732,0.00018061228249101476,4,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-28 00:00:00+00:00,1.1358,1.1358,1.1358,1.1358,0.0,8.805142203049954e-05,9.999999999998899e-05,1.1390333333333331,1.1390333333333331,0.00542203396292868,0.0,0.0,49.57627118644073,0.0005126593259243695,0.0005422115541110595,-2.9552228186689993e-05,0,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-29 00:00:00+00:00,1.1373,1.1373,1.1373,1.1373,0.0,0.001320655044902308,0.0015000000000000568,1.1387857142857143,1.1387857142857143,0.004975377617652599,0.0,0.0,52.589641434263086,0.0004560280056171706,0.0005249748444122817,-6.894683879511113e-05,1,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-04-30 00:00:00+00:00,1.1373,1.1373,1.1373,1.1373,0.0,0.0,0.0,1.1389714285714285,1.1385999999999998,0.004975377617652599,0.0,0.0,52.5896414342631,0.0004064618372212614,0.0005012722429740777,-9.48104057528163e-05,2,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-02 00:00:00+00:00,1.1343,1.1343,1.1343,1.1343,0.0,-0.002637826431020729,-0.0029999999999998916,1.1370714285714285,1.1381222222222223,0.0023129908354384723,0.0,0.0,46.975088967971864,0.00012367966155801824,0.0004257537266908658,-0.00030207406513284757,4,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-05 00:00:00+00:00,1.1343,1.1343,1.1343,1.1343,0.0,0.0,0.0,1.1360428571428571,1.13774,0.0017065462571974781,0.0,0.0,46.975088967971864,-9.92827799051188e-05,0.0003207464253716689,-0.0004200292052767877,0,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-06 00:00:00+00:00,1.1325,1.1325,1.1325,1.1325,0.0,-0.0015868817773075916,-0.0018000000000000238,1.1353142857142857,1.1372636363636364,0.0013627541872243544,0.0,-0.11871410085034063,44.14715719063574,-0.0004164267693147483,0.00017331178643438544,-0.0005897385557491338,1,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-07 00:00:00+00:00,1.136,1.136,1.136,1.136,0.0,0.003090507726269065,0.0034999999999998366,1.1353571428571427,1.1371583333333333,0.0018604962631513134,0.0,-0.07852122657150291,50.0,-0.00038095352148115325,6.245872485127769e-05,-0.0004434122463324309,2,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-08 00:00:00+00:00,1.1297,1.1297,1.1297,1.1297,0.0,-0.005545774647887303,-0.006299999999999972,1.1344857142857143,1.1365846153846153,0.00281140886561545,0.0,-0.02421890085251451,42.0654911838791,-0.0008513838427341991,-0.00012030978866581766,-0.0007310740540683815,3,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-09 00:00:00+00:00,1.1252,1.1252,1.1252,1.1252,0.0,-0.003983358413738092,-0.0044999999999999485,1.1327571428571428,1.1357714285714287,0.0028695675924819927,0.0,-0.1470747954901366,37.78280542986429,-0.0015692265862488064,-0.0004100931481824154,-0.001159133438066391,4,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-12 00:00:00+00:00,1.1106,1.1106,1.1106,1.1106,0.0,-0.012975471027372842,-0.014599999999999946,1.128942857142857,1.1340933333333332,0.005069279798661945,0.0,0.026654261233486617,28.401360544217695,-0.0032784284327491697,-0.0009837602050957663,-0.0022946682276534036,0,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-13 00:00:00+00:00,1.1112,1.1112,1.1112,1.1112,0.0,0.0005402485143164437,0.0005999999999999339,1.1256428571428572,1.1326625,0.005284268901114835,0.0,-0.0011275874169419853,11.924686192468329,-0.00453232243291013,-0.001693472650658639,-0.0028388497822514906,1,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-14 00:00:00+00:00,1.1214,1.1214,1.1214,1.1214,0.0,0.009179265658747271,0.010199999999999987,1.1238,1.132,0.006993141814231233,0.0,0.0031597610891209507,30.635838150288862,-0.004649392405310815,-0.0022846566015890745,-0.0023647358037217404,2,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-15 00:00:00+00:00,1.1185,1.1185,1.1185,1.1185,0.0,-0.0025860531478507642,-0.0028999999999999027,1.1218,1.13125,0.007002742875761909,0.0,0.017229903495473216,31.237721021610923,-0.004919468396162641,-0.0028116189605037877,-0.002107849435658853,3,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-16 00:00:00+00:00,1.1194,1.1194,1.1194,1.1194,0.0,0.0008046490835940112,0.0008999999999999009,1.1194285714285714,1.1306263157894736,0.006789203507773939,0.0,0.009661052332644884,33.66733466933849,-0.005003209204993642,-0.0032499370094017585,-0.0017532721955918831,4,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-19 00:00:00+00:00,1.1262,1.1262,1.1262,1.1262,0.0,0.006074682865821135,0.006800000000000139,1.1189285714285713,1.130405,0.007208534366056435,0.0,0.05837095761297346,41.51943462897535,-0.004469351329234206,-0.0034938198733682484,-0.0009755314558659574,0,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-20 00:00:00+00:00,1.1241,1.1241,1.1241,1.1241,0.0,-0.0018646776771443774,-0.0020999999999999908,1.1187714285714285,1.130104761904762,0.007077308486159874,0.0,0.06656226044065545,38.46153846153846,-0.004167675200599463,-0.0036285909388144915,-0.0005390842617849717,1,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
EURUSD,EUR/USD,forex,2025-05-21 00:00:00+00:00,1.1321,1.1321,1.1321,1.1321,0.0,0.007116804554754941,0.008000000000000007,1.1218428571428574,1.1301954545454544,0.004652849097868975,0.0,0.06467415913507721,46.01226993865038,-0.003245647747103897,-0.0035520023004723725,0.0003063545533684756,2,0.0,1.0,frankfurter,2026-04-13 00:09:36.922886+00:00
